Team No.,Team Name,Track
1,4Q-Bits,IoT & Smart Devices
2,VISIONARY VENTURES,IoT & Smart Devices
3,Virtual Ground Users,IoT & Smart Devices
4,Trail Blazer,IoT & Smart Devices
5,Slouch Potatoes,IoT & Smart Devices
6,Aperture_Science,IoT & Smart Devices
7,Robomakers,IoT & Smart Devices
8,IoT Vault,IoT & Smart Devices
9,BrewOS,IoT & Smart Devices
10,PeethPiche,IoT & Smart Devices
11,sudo rm -rf /,Environmental Sustainability
12,inevitabl3,Environmental Sustainability
13,Hacktastic Four,Environmental Sustainability
14,Frostflow,Environmental Sustainability
15,EcoVision,Environmental Sustainability
16,Ecospy,Environmental Sustainability
17,code red,Environmental Sustainability
18,Code Blooded,Environmental Sustainability
19,OctaCore,Environmental Sustainability
20,AI Rangers,Environmental Sustainability
21,CTRL.,AR & VR
22,Ctrl+Alt+Delinquents,AR & VR
23,Quantum Shadow,AR & VR
24,Stardust Crusaders,AR & VR
25,Team JoJo,AR & VR
26,WeRSimplified,AR & VR
27,Last Minutes,AR & VR
27,Straw hats,Open Innovation
29,Atlas,Open Innovation
30,LogicLords,Open Innovation
31,GeneX,Open Innovation
32,Enigma,Open Innovation
33,CODEX,Open Innovation
34,Code Crafter,Open Innovation
35,Bond 404,Open Innovation
36,MMJK,Open Innovation
37,Novas,Open Innovation
38,Synergy,Open Innovation
39,Stuffed Garlic Bread,Open Innovation
40,Vajra,Blockchain & Decentralized Applications
41,1e9+7,Blockchain & Decentralized Applications
42,BravoCoders,Blockchain & Decentralized Applications
43,Chain Pack,Blockchain & Decentralized Applications
44,ChainCookers,Blockchain & Decentralized Applications
45,GenoBlockz,Blockchain & Decentralized Applications
46,Lana Del Array,Blockchain & Decentralized Applications
47,Meta - Four Twenty,Blockchain & Decentralized Applications
48,Minions in a Durag,Blockchain & Decentralized Applications
49,pip install brain,Blockchain & Decentralized Applications
50,XCoders,Blockchain & Decentralized Applications
51,Reclaimers,Blockchain & Decentralized Applications
52,Team Schnell,FinTech
53,Billu Coders,FinTech
54,Binary Potatoes,FinTech
55,CODE_AVENGERS,FinTech
56,Kit Kat,FinTech
57,Market la Yaru Mass?,FinTech
58,MoneyHeist,FinTech
59,Progressive_Brothers,FinTech
60,Qubots,FinTech
61,Techatrons,FinTech
62,Rawr,FinTech
63,EduMadad,FinTech
